op,count,p25_low,p25_high,p50_low,p50_high,p75_low,p75_high,p95_low,p95_high,p99_low,p99_high,max,mean
ADD_NODE,1286442,4,5,12,13,100,200,300,400,500,600,1883.67,79.38
UPDATE_NODE,3681323,0.4,0.5,3,4,55,56,200,300,400,500,1726.13,54.9
DELETE_NODE,505086,0.4,0.5,3,4,48,49,200,300,400,500,1622.27,53.6
GET_NODE,6465211,0.3,0.4,2,3,42,43,200,300,400,500,1756.18,53.51
ADD_LINK,4492433,7,8,16,17,100,200,300,400,600,700,2024.41,91.59
DELETE_LINK,1495007,6,7,15,16,100,200,300,400,600,700,1769.92,89.72
UPDATE_LINK,4005954,7,8,16,17,100,200,300,400,600,700,2203.56,94.18
COUNT_LINK,2443873,0.2,0.3,0.8,0.9,5,6,100,200,200,300,1512.12,25.35
MULTIGET_LINK,262888,0.8,0.9,5,6,100,200,300,400,500,600,1772.76,70.29
GET_LINKS_LIST,25361783,0.8,0.9,3,4,49,50,200,300,500,600,5373.41,56.55
